,date,WTI_volume,WTI_spread,WTI_price,XOM_volume,XOM_spread,XOM_price,CVX_volume,CVX_spread,CVX_price,SHEL_volume,SHEL_spread,SHEL_price,LMT_volume,LMT_spread,LMT_price,MA_volume,MA_spread,MA_price,JPM_volume,JPM_spread,JPM_price,KO_volume,KO_spread,KO_price
251,2023-02-10,3567052,0.4400000000000004,6.18,24918616,3.469999999999999,119.17,11602394,1.9499999999999886,171.97,7372318,1.1000000000000014,61.76,1436296,9.480000000000018,480.83,2270717,7.329999999999984,366.83,6582853,2.6899999999999977,141.04,14420655,1.019999999999996,59.62
252,2023-02-13,2591422,0.3100000000000005,6.07,14536241,2.280000000000001,117.8,9442889,2.1299999999999955,171.01,4526171,0.6200000000000045,61.83,1203050,9.399999999999977,481.97,2286551,4.069999999999993,370.83,7134607,1.9899999999999807,142.57,16191786,1.0300000000000011,60.6
253,2023-02-14,2037029,0.33999999999999986,6.15,12078992,1.7900000000000063,116.42,8077335,3.530000000000001,172.32,5795144,1.0300000000000011,62.58,875679,5.339999999999975,481.58,1841422,5.680000000000007,369.96,9249399,2.210000000000008,143.2,20505679,1.3399999999999963,59.59
254,2023-02-15,2440124,0.27999999999999936,6.06,13673360,1.9500000000000028,116.07,8888908,2.0200000000000102,169.01,6946412,0.9299999999999997,62.46,927174,6.850000000000023,480.51,2203417,4.7900000000000205,369.64,6731172,2.589999999999975,143.8,13172697,0.7000000000000028,59.59
255,2023-02-16,1732330,0.21999999999999975,5.91,11360604,1.980000000000004,115.73,6727542,2.259999999999991,166.57,5075158,0.7899999999999991,61.9,1939493,11.479999999999961,471.25,2792721,8.180000000000007,367.55,8165306,1.7099999999999795,141.82,16538284,0.8699999999999974,59.22
256,2023-02-17,3319152,0.29000000000000004,5.54,20758331,3.2099999999999937,111.28,9612107,2.990000000000009,162.85,5071012,0.7199999999999989,60.66,1184204,4.82000000000005,475.63,2719130,6.899999999999977,361.13,7948829,2.7600000000000193,142.24,16814652,0.8499999999999943,60.12
257,2023-02-21,2978702,0.3000000000000007,5.32,14469431,1.5699999999999932,111.17,7259738,3.0500000000000114,161.0,3071355,0.45000000000000284,60.07,1379425,7.199999999999989,479.19,2730919,6.579999999999984,355.96,9996283,2.5900000000000034,139.63,14278307,0.509999999999998,59.8
258,2023-02-22,2503230,0.1899999999999995,5.3,13973841,2.3299999999999983,109.73,6205935,2.75,160.35,4332574,1.0499999999999972,58.95,900548,4.199999999999989,479.53,2109544,4.53000000000003,354.97,11107501,1.990000000000009,138.56,12409562,0.6099999999999994,59.98
259,2023-02-23,2348223,0.17999999999999972,5.53,11289402,1.9299999999999926,110.74,6445523,2.280000000000001,161.93,4144024,0.8200000000000003,60.26,917415,7.560000000000002,479.08,1975505,6.079999999999984,355.53,8068010,2.2299999999999898,139.67,12222827,0.6099999999999994,60.09
260,2023-02-24,1652846,0.29000000000000004,5.63,14351036,1.9399999999999977,110.75,5330180,3.4499999999999886,162.41,5069046,1.3499999999999943,60.63,1009522,4.5,480.4,2016148,4.410000000000025,353.12,9126888,2.430000000000007,140.93,9736249,0.519999999999996,59.84
261,2023-02-27,1907326,0.2400000000000002,5.73,11710453,1.3000000000000114,110.55,6386760,1.450000000000017,162.82,4710210,0.9599999999999937,61.2,1149228,6.910000000000025,479.49,2200873,3.2099999999999795,355.48,10014654,1.5900000000000034,142.16,8849821,0.5599999999999952,59.82
262,2023-02-28,5068868,0.3100000000000005,5.61,18107031,2.1400000000000006,109.91,10854226,4.039999999999992,160.77,5055244,0.8500000000000014,60.77,1155631,6.7099999999999795,474.26,2733091,4.560000000000002,355.29,11019757,1.8599999999999852,143.35,16082218,0.5600000000000023,59.51
263,2023-03-01,2555580,0.29000000000000004,5.82,13199955,2.6200000000000045,110.89,7470391,3.0,162.05,4300198,0.8299999999999983,61.94,957722,5.930000000000007,474.33,1968084,5.920000000000016,353.5,7139155,1.6599999999999966,142.55,13275810,0.8100000000000023,58.86
264,2023-03-02,2339688,0.2999999999999998,5.9,10343084,1.5300000000000011,111.4,5582097,1.9000000000000057,162.56,4041439,1.1300000000000026,62.42,835810,6.199999999999989,478.31,2526001,4.930000000000007,355.57,11107549,2.890000000000015,141.07,11772110,0.980000000000004,59.72
265,2023-03-03,3333828,0.6100000000000003,6.27,13006713,3.4200000000000017,112.81,6007546,5.160000000000025,164.96,4237293,1.1200000000000045,62.3,1060540,3.160000000000025,477.89,2174952,4.600000000000023,361.5,9513063,2.6599999999999966,143.66,13101766,0.46999999999999886,59.44
266,2023-03-06,3359727,0.27000000000000046,6.0,14347410,1.9699999999999989,113.81,7703600,2.990000000000009,166.17,3306147,0.5700000000000003,62.57,905744,4.980000000000018,480.17,2789640,7.269999999999982,366.93,9261255,1.3799999999999955,142.82,16282678,1.1600000000000037,60.36
